Language Code,Language,Country
lang_en,English,United States
lang_af,Afrikaans,South Africa
lang_ar,Arabic,Saudi Arabia
lang_hy,Armenian,Armenia
lang_be,Belarusian,Belarus
lang_bg,Bulgarian,Bulgaria
lang_ca,Catalan,Spain
lang_zh-CN,Chinese (Simplified),China
lang_zh-TW,Chinese (Traditional),Taiwan
lang_hr,Croatian,Croatia
lang_cs,Czech,Czech Republic
lang_da,Danish,Denmark
lang_nl,Dutch,Netherlands
lang_en,English,United Kingdom
lang_eo,Esperanto,N/A
lang_et,Estonian,Estonia
lang_tl,Filipino,Philippines
lang_fi,Finnish,Finland
lang_fr,French,France
lang_de,German,Germany
lang_el,Greek,Greece
lang_iw,Hebrew,Israel
lang_hi,Hindi,India
lang_hu,Hungarian,Hungary
lang_is,Icelandic,Iceland
lang_id,Indonesian,Indonesia
lang_it,Italian,Italy
lang_ja,Japanese,Japan
lang_ko,Korean,South Korea
lang_lv,Latvian,Latvia
lang_lt,Lithuanian,Lithuania
lang_no,Norwegian,Norway
lang_fa,Persian,Iran
lang_pl,Polish,Poland
lang_pt,Portuguese,Portugal
lang_ro,Romanian,Romania
lang_ru,Russian,Russia
lang_sr,Serbian,Serbia
lang_sk,Slovak,Slovakia
lang_sl,Slovenian,Slovenia
lang_es,Spanish,Spain
lang_es,Spanish,Mexico
lang_es,Spanish,Chile
lang_es,Spanish,Peru
lang_es,Spanish,Colombia
lang_sw,Swahili,Tanzania
lang_sv,Swedish,Sweden
lang_th,Thai,Thailand
lang_tr,Turkish,Turkey
lang_uk,Ukrainian,Ukraine
lang_vi,Vietnamese,Vietnam